"age","type","percent","years_till_retirement"
10,"US Stocks",63,55
10,"International Stocks",27,55
10,"US Bonds",8,55
10,"International Bonds",2,55
10,"Short Term TIPS",0,55
11,"US Stocks",63,54
11,"International Stocks",27,54
11,"US Bonds",8,54
11,"International Bonds",2,54
11,"Short Term TIPS",0,54
12,"US Stocks",63,53
12,"International Stocks",27,53
12,"US Bonds",8,53
12,"International Bonds",2,53
12,"Short Term TIPS",0,53
13,"US Stocks",63,52
13,"International Stocks",27,52
13,"US Bonds",8,52
13,"International Bonds",2,52
13,"Short Term TIPS",0,52
14,"US Stocks",63,51
14,"International Stocks",27,51
14,"US Bonds",8,51
14,"International Bonds",2,51
14,"Short Term TIPS",0,51
15,"US Stocks",63,50
15,"International Stocks",27,50
15,"US Bonds",8,50
15,"International Bonds",2,50
15,"Short Term TIPS",0,50
16,"US Stocks",63,49
16,"International Stocks",27,49
16,"US Bonds",8,49
16,"International Bonds",2,49
16,"Short Term TIPS",0,49
17,"US Stocks",63,48
17,"International Stocks",27,48
17,"US Bonds",8,48
17,"International Bonds",2,48
17,"Short Term TIPS",0,48
18,"US Stocks",63,47
18,"International Stocks",27,47
18,"US Bonds",8,47
18,"International Bonds",2,47
18,"Short Term TIPS",0,47
19,"US Stocks",63,46
19,"International Stocks",27,46
19,"US Bonds",8,46
19,"International Bonds",2,46
19,"Short Term TIPS",0,46
20,"US Stocks",63,45
20,"International Stocks",27,45
20,"US Bonds",8,45
20,"International Bonds",2,45
20,"Short Term TIPS",0,45
21,"US Stocks",63,44
21,"International Stocks",27,44
21,"US Bonds",8,44
21,"International Bonds",2,44
21,"Short Term TIPS",0,44
22,"US Stocks",63,43
22,"International Stocks",27,43
22,"US Bonds",8,43
22,"International Bonds",2,43
22,"Short Term TIPS",0,43
23,"US Stocks",63,42
23,"International Stocks",27,42
23,"US Bonds",8,42
23,"International Bonds",2,42
23,"Short Term TIPS",0,42
24,"US Stocks",63,41
24,"International Stocks",27,41
24,"US Bonds",8,41
24,"International Bonds",2,41
24,"Short Term TIPS",0,41
25,"US Stocks",63,40
25,"International Stocks",27,40
25,"US Bonds",8,40
25,"International Bonds",2,40
25,"Short Term TIPS",0,40
26,"US Stocks",63,39
26,"International Stocks",27,39
26,"US Bonds",8,39
26,"International Bonds",2,39
26,"Short Term TIPS",0,39
27,"US Stocks",63,38
27,"International Stocks",27,38
27,"US Bonds",8,38
27,"International Bonds",2,38
27,"Short Term TIPS",0,38
28,"US Stocks",63,37
28,"International Stocks",27,37
28,"US Bonds",8,37
28,"International Bonds",2,37
28,"Short Term TIPS",0,37
29,"US Stocks",63,36
29,"International Stocks",27,36
29,"US Bonds",8,36
29,"International Bonds",2,36
29,"Short Term TIPS",0,36
30,"US Stocks",63,35
30,"International Stocks",27,35
30,"US Bonds",8,35
30,"International Bonds",2,35
30,"Short Term TIPS",0,35
31,"US Stocks",63,34
31,"International Stocks",27,34
31,"US Bonds",8,34
31,"International Bonds",2,34
31,"Short Term TIPS",0,34
32,"US Stocks",63,33
32,"International Stocks",27,33
32,"US Bonds",8,33
32,"International Bonds",2,33
32,"Short Term TIPS",0,33
33,"US Stocks",63,32
33,"International Stocks",27,32
33,"US Bonds",8,32
33,"International Bonds",2,32
33,"Short Term TIPS",0,32
34,"US Stocks",63,31
34,"International Stocks",27,31
34,"US Bonds",8,31
34,"International Bonds",2,31
34,"Short Term TIPS",0,31
35,"US Stocks",63,30
35,"International Stocks",27,30
35,"US Bonds",8,30
35,"International Bonds",2,30
35,"Short Term TIPS",0,30
36,"US Stocks",63,29
36,"International Stocks",27,29
36,"US Bonds",8,29
36,"International Bonds",2,29
36,"Short Term TIPS",0,29
37,"US Stocks",63,28
37,"International Stocks",27,28
37,"US Bonds",8,28
37,"International Bonds",2,28
37,"Short Term TIPS",0,28
38,"US Stocks",63,27
38,"International Stocks",27,27
38,"US Bonds",8,27
